"id","date","sentences"
"2","2024-04-17 09:56:47.000000","A bird chasing a piece of cheese"
"3","2024-04-17 09:57:10.000000","The mouse playing with a piece of cheese"
"4","2024-04-17 09:57:10.000000","The dog chasing a ball"
"5","2024-04-17 09:57:12.000000","A cat chasing a mouse"
"6","2024-04-17 09:57:13.000000","A bird chasing a toy"
"7","2024-04-17 10:00:24.000000","The mouse eating a mouse"
"8","2024-04-17 10:05:35.000000","The dog playing with a toy"
"9","2024-04-17 10:13:48.000000","The mouse chasing a piece of cheese"
"10","2024-04-17 10:13:49.000000","The dog playing with a toy"
"11","2024-04-17 07:56:47.000000","A bird chasing a piece of cheese"
"12","2024-04-17 07:57:10.000000","The mouse playing with a piece of cheese"
"13","2024-04-17 07:57:10.000000","The dog chasing a ball"
"14","2024-04-17 07:57:12.000000","A cat chasing a mouse"
"15","2024-04-17 07:57:13.000000","A bird chasing a toy"
"16","2024-04-17 08:00:24.000000","The mouse eating a mouse"
"17","2024-04-17 08:05:35.000000","The dog playing with a toy"
"18","2024-04-17 08:13:48.000000","The mouse chasing a piece of cheese"
"19","2024-04-17 08:13:49.000000","The dog playing with a toy"
"20","2024-04-17 07:56:47.000000","A bird chasing a piece of cheese"
"21","2024-04-17 07:57:10.000000","The mouse playing with a piece of cheese"
"22","2024-04-17 07:57:10.000000","The dog chasing a ball"
"23","2024-04-17 07:57:12.000000","A cat chasing a mouse"
"24","2024-04-17 07:57:13.000000","A bird chasing a toy"
"25","2024-04-17 08:00:24.000000","The mouse eating a mouse"
"26","2024-04-17 08:05:35.000000","The dog playing with a toy"
"27","2024-04-17 08:13:48.000000","The mouse chasing a piece of cheese"
"28","2024-04-17 08:13:49.000000","The dog playing with a toy"
"29","2024-04-17 11:09:32.000000","A cat sleeping near a piece of cheese"
"30","2024-04-17 11:09:35.000000","A cat playing with a toy"
